algo,example_id,true_val,result,beta,adaptive,IS_func,accept_rate,up_rate,runtime,iterations,T,K,J,notes
samc,0,0.0032763814358856,,201.0,False,,0.771821,0.027489,32.138253927230835,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.770233,0.027571,32.077638149261475,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.770791,0.027396,32.13970112800598,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.770294,0.027551,32.16864371299744,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.771466,0.027429,32.192806005477905,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.770364,0.027378,32.4341881275177,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.769848,0.027516,31.690036058425903,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.71659,0.027785,35.09127402305603,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716013,0.027773,34.81676721572876,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.717379,0.027772,34.84359407424927,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716141,0.027773,34.93556594848633,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716313,0.027786,34.9842643737793,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716612,0.027781,34.61056399345398,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716034,0.027789,34.64005088806152,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.717005,0.027777,33.61285209655762,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.715455,0.027787,33.11515998840332,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.717109,0.027777,33.650712966918945,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716827,0.027773,33.47372388839722,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716092,0.027767,33.3499231338501,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716723,0.02778,33.17605400085449,1100000,100000,1000000,1,
